Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",47.36683,37.315475,28.72323929411764,27.590495445454543
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",38.4007,31.690222,68.48093710612245,30.882851198387105
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",35.61928,23.4658,28.72323929411764,27.590495445454543
AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",27.336283,19.246105,68.48093710612245,30.882851198387105
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",16.59645,11.677067,28.72323929411764,27.590495445454543
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",0,21.604565,68.48093710612245,30.882851198387105
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",11.504768,16.429789,28.72323929411764,27.590495445454543
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",0,34.96215,28.72323929411764,27.590495445454543
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",0,,28.72323929411764,27.590495445454543
ADBE,Adobe,reports,Information Technology,Application Software,"San Jose, California",28.324053,21.748028,28.72323929411764,27.590495445454543
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",18.507511,18.65679,68.48093710612245,30.882851198387105
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",69.83638,37.913708,68.48093710612245,30.882851198387105
ADP,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",22.448301,21.990257,68.48093710612245,30.882851198387105
ADSK,Autodesk,reports,Information Technology,Application Software,"San Rafael, California",19.345537,13.099913,68.48093710612245,30.882851198387105
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",0,37.078125,28.72323929411764,27.590495445454543
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",18.908806,18.381592,68.48093710612245,30.882851198387105
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",22.408237,7.6544347,28.72323929411764,27.590495445454543
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",23.249777,7.9662576,28.72323929411764,27.590495445454543
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",130.40047,30.752779,68.48093710612245,30.882851198387105
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",23.870098,21.976511,68.48093710612245,30.882851198387105
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",0,75.21622,68.48093710612245,30.882851198387105
AKAM,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",31.284872,22.587234,28.72323929411764,27.590495445454543
ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",0,8.748398,28.72323929411764,27.590495445454543
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",12.458284,15.259125,28.72323929411764,27.590495445454543
ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",42.055614,26.756205,28.72323929411764,27.590495445454543
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",33.787197,15.944682,28.72323929411764,27.590495445454543
ALLE,Allegion,reports,Industrials,Building Products,"New York City, New York",0,55.398148,28.72323929411764,27.590495445454543
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",9.684674,7.152397,68.48093710612245,30.882851198387105
AMCR,Amcor,reports,Materials,Paper Packaging,"Zurich, Switzerland",0,,28.72323929411764,27.590495445454543
AMD,Advanced Micro Devices,reports,Information Technology,Semiconductors,"Santa Clara, California",0,0,28.72323929411764,27.590495445454543
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",20.365023,15.11012,68.48093710612245,30.882851198387105
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",22.566536,17.429655,68.48093710612245,30.882851198387105
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",15.880837,14.4392395,68.48093710612245,30.882851198387105
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",0,46.517765,68.48093710612245,30.882851198387105
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",75.542786,48.164352,28.72323929411764,27.590495445454543
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",0,16.128378,68.48093710612245,30.882851198387105
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",128.09486,56.372803,68.48093710612245,30.882851198387105
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",794.83966,127.53216,68.48093710612245,30.882851198387105
AON,Aon,reports,Financials,Insurance Brokers,"London, UK",53.430424,20.965078,68.48093710612245,30.882851198387105
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",27.347647,25.477419,68.48093710612245,30.882851198387105
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0,106.87459,68.48093710612245,30.882851198387105
APD,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",22.501976,15.4281845,28.72323929411764,27.590495445454543
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",32.02066,12.183962,68.48093710612245,30.882851198387105
APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",16.805723,15.329646,68.48093710612245,30.882851198387105
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",35.938835,28.361029,28.72323929411764,27.590495445454543
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",0,34.061424,68.48093710612245,30.882851198387105
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",11.958396,10.55207,28.72323929411764,27.590495445454543
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",0,10.276786,68.48093710612245,30.882851198387105
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",9.564946,8.852944,68.48093710612245,30.882851198387105
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",334.8493,18.97826,68.48093710612245,30.882851198387105
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",44.995903,20.802082,68.48093710612245,30.882851198387105
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",8.640283,6.80935,68.48093710612245,30.882851198387105
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",29.325691,16.92218,68.48093710612245,30.882851198387105
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",57.278477,53.924465,68.48093710612245,30.882851198387105
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",20.983463,11.009132,68.48093710612245,30.882851198387105
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",0,250.55554,68.48093710612245,30.882851198387105
