Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,22.996048,15.766937,33.78049890425532,29.299340398305088
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,0.0,40.156254,53.80290897321429,24.52907978636364
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449.0,1932,40.629623,25.848974,55.29790544230769,25.943469838983052
AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193.0,1977,25.576668,15.563896,41.766440325,26.817563048484836
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152.0,2013 (1888),34.053043,24.585815,33.78049890425532,29.299340398305088
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1140859.0,1985,23.624413,16.552631,33.78049890425532,29.299340398305088
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,815094.0,1981,0.0,9.1576605,33.78049890425532,29.299340398305088
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,55.409897,43.651787,33.78049890425532,29.299340398305088
ADBE,Adobe,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343.0,1982,0.0,64.85185,41.766440325,26.817563048484836
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,6281.0,1965,50.794754,23.482954,41.766440325,26.817563048484836
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,7084.0,1902,20.477337,15.193453,61.171659148148166,25.609259525806454
ADP,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,8670.0,1949,0.0,29.800636,41.766440325,26.817563048484836
ADSK,Autodesk,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01,769397.0,1982,22.267591,21.813234,41.766440325,26.817563048484836
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910.0,1902,26.463741,9.067485,38.843115039999994,21.74133126923077
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904.0,1906,140.13298,33.048027,38.843115039999994,21.74133126923077
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761.0,1981,0.0,,38.843115039999994,21.74133126923077
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977.0,1955,10.953516,13.416058,38.61327658999999,41.974477063333346
AIG,American International Group,reports,Financials,Property & Casualty Insurance,New York City,1980-03-31,5272.0,1919,0.0,97.5,38.61327658999999,41.974477063333346
AIZ,Assurant,reports,Financials,Multi-line Insurance,New York City,2007-04-10,1267238.0,1892,0.0,20.701801,38.61327658999999,41.974477063333346
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190.0,1927,0.0,72.18892,38.61327658999999,41.974477063333346
AKAM,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222.0,1998,12.358616,10.905223,41.766440325,26.817563048484836
ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913.0,1994,33.880863,26.736986,85.30784769565217,25.06027842
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1097149.0,1997,0.0,,33.78049890425532,29.299340398305088
ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",2016-05-13,766421.0,1985,34.85941,27.474531,53.80290897321429,24.52907978636364
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051.0,1931,10.6654625,15.202205,38.61327658999999,41.974477063333346
ALXN,Alexion Pharmaceuticals,reports,Health Care,Pharmaceuticals,"Boston, Massachusetts",2012-05-25,899866.0,1992,10.381407,14.825533,33.78049890425532,29.299340398305088
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,6951.0,1967,0.0,40.71066,41.766440325,26.817563048484836
AMD,Advanced Micro Devices,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488.0,1969,29.93574,22.985527,41.766440325,26.817563048484836
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868.0,1930,0.0,20.833332,53.80290897321429,24.52907978636364
