,Unnamed: 0,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,TPE,FPE
0,0,IPG,Interpublic Group,reports,Communication Services,Advertising,New York City,1992-10-01,51644,1961 (1930),29.648335,13.99149
1,1,TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994,55.409897,43.651787
2,2,TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,New York City,2018-03-19,946581,1993,34.053043,24.585815
3,3,T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),0.0,9.1576605
4,4,LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258,2010,0.0,107.25
5,5,TWTR,Twitter,reports,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,1418091,2006,0.0,64.85185
6,6,FB,Facebook,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,29.93574,22.985527
7,7,CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993,40.629623,25.848974
8,8,LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25,18926,1983 (1877),0.0,
9,9,FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,New York City,2013-07-01,1754301,2019,10.953516,13.416058
10,10,CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,22.996048,15.766937
11,11,OMC,Omnicom Group,reports,Communication Services,Advertising,New York City,,29989,1986,17.631927,12.405616
12,12,VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,New York City,1983-11-30,732712,1983 (1877),12.358616,10.905223
13,13,GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,34.85941,27.474531
14,14,GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,33.880863,26.736986
15,15,VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,New York City,,813828,2019 (1952),0.0,
16,16,FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,New York City,2015-09-18,1754301,2019,10.381407,14.825533
17,17,NWS,News Corp (Class B),reports,Communication Services,Publishing,New York City,2015-09-18,1564708,2013 (1980),0.0,
18,18,NFLX,Netflix,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,65.1416,41.532795
19,19,DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,1001082,1980,10.6654625,15.202205
